Significant,pvalue,Difference,Protein IDs,Majority protein IDs,uniprot,Symbol color,Symbol type,Symbol size,Show label,GOBP name,GOMF name,GOCC name,Taxonomy,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS Count,oxidized 48h a LFQ,oxidized 72h a LFQ,oxidized 48h b LFQ,oxidized 72h b LFQ,oxidized 48h c LFQ,oxidized 72h c LFQ,reduced 48h a LFQ,reduced 72h a LFQ,reduced 48h b LFQ,reduced 72h b2 LFQ,reduced 48h c LFQ,reduced 72h c LFQ
,1.021567772,0.228283544,sp|P41056|RL33B_YEAST,sp|P41056|RL33B_YEAST,P41056,Color [DarkGray],1,4,,structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,RL33B_YEAST,8,8,2,56.1,56.1,15.9,12.168,0,110.55,6497800000,211,0.6576217,0.3602589,0.2401218,0.450566,0.5911934,0.6638757,0.1675938,0.1868087,0.3078276,0.2357842,0.06232198,0.3672571
,0.865173753,0.365136604,sp|P49017|COQ5_YEAST,sp|P49017|COQ5_YEAST,P49017,Color [DarkGray],1,4,,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity;2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity;catalytic activity;C-methyltransferase activity;methyltransferase activity;quinone cofactor methyltransferase activity;transferase activity;transferase activity, transferring one-carbon groups",cell part;cytoplasmic part;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane;membrane-enclosed lumen;mitochondrial inner membrane;mitochondrial matrix;mitochondrial membrane;mitochondrial part;organelle inner membrane;organelle lumen;organelle membrane;organelle part,biosynthetic process;cellular ketone metabolic process;cellular metabolic process;cellular process;cellular respiration;cofactor metabolic process;generation of precursor metabolites and energy;metabolic process;small molecule metabolic process,COQ5_YEAST,8,8,8,38.8,38.8,38.8,34.684,0,40.601,317750000,36,-0.888235,-0.7642682,-0.2819488,-0.7335348,-0.7827524,-0.8967912,-1.670439,-1.485342,-1.318701,-0.828198,-1.622866,-1.176464
,0.228937756,-0.193131194,sp|P49435|APT1_YEAST,sp|P49435|APT1_YEAST,P49435,Color [DarkGray],1,4,,"adenine phosphoribosyltransferase activity;binding;catalytic activity;cation binding;ion binding;metal ion binding;transferase activity;transferase activity, transferring glycosyl groups;transferase activity, transferring pentosyl groups",cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle,biosynthetic process;cellular aromatic compound metabolic process;cellular metabolic compound salvage;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleotide metabolic process;pigment metabolic process;primary metabolic process;purine-containing compound salvage;small molecule metabolic process,APT1_YEAST,8,8,8,39.6,39.6,39.6,20.587,0,61.301,1266700000,62,-0.8614192,-0.4046218,-0.8033972,-0.7784106,-1.028574,-1.150558,-0.8373378,-1.041219,-0.670463,-0.5358936,-0.4619703,-0.1770842
,0.3326545,0.124093056,sp|P53334|SCW4_YEAST,sp|P53334|SCW4_YEAST,P53334,Color [DarkGray],1,4,,"catalytic activity;glucosidase activity;hydrolase activity;hydrolase activity, acting on glycosyl bonds;hydrolase activity, hydrolyzing O-glycosyl compounds",cell part;cell wall;cytoplasmic part;external encapsulating structure;extracellular region;fungal-type cell wall;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;organelle;vacuole,carbohydrate metabolic process;cell wall organization;cell wall organization or biogenesis;conjugation;conjugation with cellular fusion;metabolic process;multi-organism process;primary metabolic process;reproduction,SCW4_YEAST,8,8,8,33.7,33.7,33.7,40.173,0,282.02,741710000,84,-1.113725,-0.9458849,-1.103434,-0.8373736,-0.7890121,-0.6829194,-0.943588,-0.784932,-0.6231048,-0.8424575,-0.7722962,-1.211068
,0.040955442,-0.038743963,sp|P53723|YN8B_YEAST,sp|P53723|YN8B_YEAST,P53723,Color [DarkGray],1,4,,,cell part;cytoplasmic part;endoplasmic reticulum membrane;endoplasmic reticulum part;integral to membrane;intracellular organelle part;intracellular part;intrinsic to membrane;membrane;membrane part;organelle membrane;organelle part,,YN8B_YEAST,8,8,8,25.2,25.2,25.2,47.093,0,118.61,743620000,68,-1.178113,-1.196493,-0.6506714,-1.080059,-0.7195038,-0.4168689,-0.882764,-0.5559635,-1.135545,-0.7554095,-0.8870535,-1.265817
,0.290729587,0.112514804,sp|Q01519|COX12_YEAST,sp|Q01519|COX12_YEAST,Q01519,Color [DarkGray],1,4,,"catalytic activity;cation transmembrane transporter activity;cytochrome-c oxidase activity;heme-copper terminal oxidase activity;hydrogen ion transmembrane transporter activity;inorganic cation transmembrane transporter activity;ion transmembrane transporter activity;monovalent inorganic cation transmembrane transporter activity;oxidoreductase activity;oxidoreductase activity, acting on a heme group of donors;oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity",cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;membrane-enclosed lumen;mitochondrial intermembrane space;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain complex IV;organelle envelope lumen;organelle part;protein complex;respiratory chain complex IV,cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular metabolic process;cellular process;generation of precursor metabolites and energy;macromolecular complex assembly;metabolic process;oxidative phosphorylation;phosphorus metabolic process;protein complex assembly;protein complex biogenesis,COX12_YEAST,8,8,8,88,88,88,9.7878,0,189.85,639200000,57,-0.7732393,-0.760052,-0.6243452,-0.2950773,-0.3563887,-0.7553973,-0.7744194,-0.6752164,-0.6811708,-0.7064463,-0.5947762,-0.7664083
,0.670643466,0.404009223,sp|Q03144|SNO1_YEAST,sp|Q03144|SNO1_YEAST,Q03144,Color [DarkGray],1,4,,"catalytic activity;glutaminase activity;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides;transferase activity",,amine metabolic process;biological regulation;biosynthetic process;catabolic process;cellular amino acid metabolic process;cellular ketone metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cofactor metabolic process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;organic acid metabolic process;primary metabolic process;small molecule metabolic process;vitamin metabolic process,SNO1_YEAST,8,8,7,55.4,55.4,52.2,24.906,0,65.202,881120000,44,-0.8177938,-0.7346748,-0.3517796,-0.8435541,-0.8638871,-0.6336422,-1.212906,-0.6627636,-1.179794,-1.584016,-1.668622,-1.177119
,0.295709857,0.191579044,sp|Q05933|ARPC3_YEAST,sp|Q05933|ARPC3_YEAST,Q05933,Color [DarkGray],1,4,,,Arp2/3 protein complex;cell part;cytoplasmic part;cytoskeletal part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;mitochondrion;organelle;organelle part;protein complex,biological regulation;cellular component organization;cellular localization;cellular process;cytoskeleton organization;establishment of localization;localization;mitochondrion organization;organelle inheritance;organelle localization;organelle organization;regulation of organelle organization,ARPC3_YEAST,8,8,8,66.9,66.9,66.9,20.578,0,77.185,1130500000,66,-1.15525,-0.4719346,-0.6985981,-0.7749326,-0.9028719,-1.345051,-1.688916,-1.032749,-1.177718,-1.167105,-0.3787018,-0.9668018
,0.936199816,0.464115351,sp|Q07651|FMP45_YEAST,sp|Q07651|FMP45_YEAST,Q07651,Color [DarkGray],1,4,,,cell cortex;cell part;cytoplasmic part;integral to membrane;intracellular part;intrinsic to membrane;membrane;membrane part;plasma membrane,anatomical structure development;anatomical structure formation involved in morphogenesis;ascospore formation;cell development;cell differentiation;cell wall organization;cell wall organization or biogenesis;cellular cell wall organization;cellular cell wall organization or biogenesis;cellular component organization;cellular process;developmental process;external encapsulating structure organization;reproduction;sporulation,FMP45_YEAST,8,8,8,44.7,44.7,44.7,34.135,0,198.93,956180000,62,-0.8763346,-0.8062505,-0.5738611,-0.4164495,-1.155897,-0.6545173,-1.45212,-1.268967,-0.6065007,-0.6864062,-0.9861375,-1.31419
,0.487159975,0.500215011,sp|Q08745|RS10A_YEAST,sp|Q08745|RS10A_YEAST,Q08745,Color [DarkGray],1,4,,structural constituent of ribosome;structural molecule activity,cell part;cytosolic small ribosomal subunit;intracellular organelle part;intracellular part;macromolecular complex;organelle part;ribonucleoprotein complex;small ribosomal subunit,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;establishment of localization;macromolecule metabolic process;metabolic process;nuclear transport;nucleobase-containing compound transport;nucleocytoplasmic transport;primary metabolic process;protein metabolic process;translation;transport,RS10A_YEAST,8,8,1,86.7,86.7,7.6,12.739,0,139.87,6341600000,151,1.44622,0.6751021,0.8746508,1.268787,0.8467498,-0.05729247,-0.353947,0.3369112,-0.4249876,-0.3297371,-0.1164063,0.378777
,0.00759778,-0.003419896,sp|Q92317|NCB2_YEAST,sp|Q92317|NCB2_YEAST,Q92317,Color [DarkGray],1,4,,binding;chromatin binding;core promoter binding;DNA binding;nucleic acid binding;protein binding transcription factor activity;regulatory region DNA binding;regulatory region nucleic acid binding;RNA polymerase II basal transcription factor binding transcription factor activity;RNA polymerase II transcription factor binding transcription factor activity;sequence-specific DNA binding;TBP-class protein binding RNA polymerase II transcription factor activity;TBP-class protein binding RNA polymerase II transcription factor activity involved in preinitiation complex assembly;transcription cofactor activity;transcription corepressor activity;transcription factor binding transcription factor activity;transcription regulatory region DNA binding,cell part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;negative cofactor 2 complex;nuclear part;nucleoplasm part;nucleus;organelle;organelle part;protein complex;transcriptional repressor complex,biological regulation;cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular process;macromolecular complex assembly,NCB2_YEAST,8,8,8,46.6,46.6,46.6,16.65,0,16.897,373640000,42,-0.337925,-1.388566,-0.5952472,-0.9559613,-0.6896248,-1.039407,-1.864667,-1.090247,-1.076334,-1.251507,-1.194265,-1.031921
,0.714630057,0.203062485,sp|O14455|RL36B_YEAST,sp|O14455|RL36B_YEAST,O14455,Color [DarkGray],1,4,,binding;nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,RL36B_YEAST,9,9,2,52,52,10,11.135,0,245.5,13389000000,312,0.7657397,0.6463614,0.9559107,0.7837146,0.8573341,0.7908554,0.366989,0.7730943,0.4502351,0.3720285,0.267138,0.4666212
,0.000218045,-0.000133296,sp|O43137|YB085_YEAST,sp|O43137|YB085_YEAST,O43137,Color [DarkGray],1,4,,,cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle,,YB085_YEAST,9,9,8,96.5,96.5,88.2,9.4044,0,298.08,1872500000,75,-0.8824709,-0.7066255,-0.6693608,-1.205759,-0.4243511,-1.024685,-0.3770497,-1.14887,-1.167083,-0.7108974,-0.7687891,-1.076902
,0.373215492,0.301234057,sp|P00410|COX2_YEAST,sp|P00410|COX2_YEAST,P00410,Color [DarkGray],1,4,,"binding;catalytic activity;cation binding;cation transmembrane transporter activity;copper ion binding;cytochrome-c oxidase activity;heme-copper terminal oxidase activity;hydrogen ion transmembrane transporter activity;inorganic cation transmembrane transporter activity;ion binding;ion transmembrane transporter activity;metal ion binding;monovalent inorganic cation transmembrane transporter activity;oxidoreductase activity;oxidoreductase activity, acting on a heme group of donors;oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transition metal ion binding;transmembrane transporter activity;transporter activity",cell part;cytoplasmic part;integral to membrane;intracellular organelle part;intracellular part;intrinsic to membrane;macromolecular complex;membrane part;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain complex IV;organelle part;protein complex;respiratory chain complex IV,cellular metabolic process;cellular process;cellular respiration;generation of precursor metabolites and energy;metabolic process,COX2_YEAST,9,9,9,50.2,50.2,50.2,28.567,0,123.98,1482300000,51,-0.8143409,-0.7780671,-0.9895622,-0.77073,-0.7618914,-0.6473206,-0.4652807,-1.364671,-0.454518,-0.3622166,-1.525792,-1.372932
,0.446842575,-0.414357634,sp|P00427|COX6_YEAST,sp|P00427|COX6_YEAST,P00427,Color [DarkGray],1,4,,"binding;catalytic activity;cation binding;cation transmembrane transporter activity;cytochrome-c oxidase activity;heme-copper terminal oxidase activity;hydrogen ion transmembrane transporter activity;inorganic cation transmembrane transporter activity;ion binding;ion transmembrane transporter activity;metal ion binding;monovalent inorganic cation transmembrane transporter activity;oxidoreductase activity;oxidoreductase activity, acting on a heme group of donors;oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity",cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain complex IV;organelle part;protein complex;respiratory chain complex IV,cellular metabolic process;cellular process;generation of precursor metabolites and energy;metabolic process,COX6_YEAST,9,9,9,54.7,54.7,54.7,17.341,0,187.66,3716000000,160,0.3575503,-1.086726,-0.2000555,0.1505229,-0.6404913,0.04337831,0.03618664,0.06322759,-0.1237576,0.2135733,-0.05653452,0.07344726
,1.768460206,0.284164806,sp|P02400|RLA4_YEAST,sp|P02400|RLA4_YEAST,P02400,Color [DarkGray],1,4,,enzyme activator activity;enzyme regulator activity;kinase activator activity;kinase regulator activity;protein kinase activator activity;protein kinase regulator activity;structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biological regulation;biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;regulation of protein modification process;translation;translational elongation,RLA4_YEAST,9,9,9,56.4,56.4,56.4,11.05,0,323.31,13186000000,421,1.261272,1.18878,1.156676,1.162762,1.109301,1.299639,1.107251,0.915395,0.9979786,1.042333,0.99362,0.8409585
,0.522749529,0.091737613,sp|P20081|FKBP_YEAST,sp|P20081|FKBP_YEAST,P20081,Color [DarkGray],1,4,,binding;catalytic activity;cis-trans isomerase activity;drug binding;isomerase activity;macrolide binding;peptidyl-prolyl cis-trans isomerase activity,cell part;cytoplasm;intracellular part,cellular component organization;cellular metabolic process;cellular process;chromatin organization;chromosome organization;macromolecule metabolic process;macromolecule modification;metabolic process;organelle organization;peptidyl-amino acid modification;primary metabolic process;protein folding;protein metabolic process;protein modification process,FKBP_YEAST,9,9,9,72.8,72.8,72.8,12.158,0,221.56,9124100000,239,0.5921776,0.4003791,-0.0889153,0.5176455,0.5966402,0.3627392,0.4351511,0.2172223,0.3864141,0.3644005,0.5016741,0.4239281
,1.022113446,-0.47110369,sp|P25372|TRX3_YEAST,sp|P25372|TRX3_YEAST,P25372,Color [DarkGray],1,4,,"catalytic activity;disulfide oxidoreductase activity;oxidoreductase activity;oxidoreductase activity, acting on a sulfur group of donors;protein disulfide oxidoreductase activity",cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;mitochondrion;organelle,biological regulation;cellular homeostasis;cellular process;glycerol ether metabolic process;homeostatic process;metabolic process;response to chemical stimulus;response to oxidative stress;response to stimulus;response to stress;small molecule metabolic process,TRX3_YEAST,9,9,9,55.9,55.9,55.9,14.432,0,97.442,2180400000,114,-0.95586,-0.6995191,-0.5878744,-0.2331023,-0.6613051,-0.8024171,-0.4049436,-0.02658362,-0.2880038,-0.3562177,-0.7096874,0.0610739
,1.1526842,0.701276958,sp|P25631|YCU1_YEAST,sp|P25631|YCU1_YEAST,P25631,Color [DarkGray],1,4,,,,,YCU1_YEAST,9,9,9,63.1,63.1,63.1,24.694,0,191.78,510480000,62,-0.9940721,-0.7451267,-0.6351884,-0.4835449,-0.7334353,-0.2565504,-0.9356574,-0.8795489,-1.110255,-1.022317,-0.9581081,-1.687187
,0.161987653,0.100012362,sp|P30656|PSB5_YEAST,sp|P30656|PSB5_YEAST,P30656,Color [DarkGray],1,4,,"catalytic activity;endopeptidase activity;hydrolase activity;peptidase activity;peptidase activity, acting on L-amino acid peptides;threonine-type endopeptidase activity;threonine-type peptidase activity","cell part;cytoplasmic part;cytosolic part;cytosolic proteasome complex;endoplasmic reticulum membrane;endoplasmic reticulum part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;membrane-bounded organelle;nucleus;organelle;organelle membrane;organelle part;proteasome complex;proteasome core complex, beta-subunit complex;proteasome storage granule;protein complex",catabolic process;cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular metabolic process;cellular process;macromolecular complex assembly;macromolecule metabolic process;metabolic process;primary metabolic process;protein complex assembly;protein metabolic process;proteolysis;proteolysis involved in cellular protein catabolic process,PSB5_YEAST,9,9,9,40.8,40.8,40.8,31.636,0,54.499,1547800000,73,-0.6597567,-0.8526851,-0.7467691,-0.8167788,-0.5126461,-0.5801771,-1.254631,-0.5996501,-0.9498861,-0.6706419,-0.964058,-1.279386
,0.581979673,-0.305554485,sp|P30657|PSB7_YEAST,sp|P30657|PSB7_YEAST,P30657,Color [DarkGray],1,4,,"catalytic activity;endopeptidase activity;hydrolase activity;peptidase activity;peptidase activity, acting on L-amino acid peptides;threonine-type endopeptidase activity;threonine-type peptidase activity","cell part;cytoplasmic part;cytosolic part;cytosolic proteasome complex;endoplasmic reticulum membrane;endoplasmic reticulum part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;membrane-bounded organelle;nucleus;organelle;organelle membrane;organelle part;proteasome complex;proteasome core complex, beta-subunit complex;proteasome storage granule;protein complex",catabolic process;cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular metabolic process;cellular process;macromolecular complex assembly;macromolecule metabolic process;metabolic process;primary metabolic process;protein complex assembly;protein metabolic process;proteolysis;proteolysis involved in cellular protein catabolic process,PSB7_YEAST,9,9,9,48.5,48.5,48.5,29.443,0,159.3,1452900000,91,-0.1446837,0.07427496,-0.187536,-0.225246,-1.045071,-0.7077801,-0.1264312,0.01559048,-0.2252696,-0.07213464,-0.01372973,0.1144565
,0.739521449,0.452212701,sp|P32897|TIM23_YEAST,sp|P32897|TIM23_YEAST,P32897,Color [DarkGray],1,4,,active transmembrane transporter activity;binding;channel activity;macromolecule transmembrane transporter activity;mitochondrion targeting sequence binding;passive transmembrane transporter activity;peptide binding;P-P-bond-hydrolysis-driven protein transmembrane transporter activity;P-P-bond-hydrolysis-driven transmembrane transporter activity;primary active transmembrane transporter activity;protein channel activity;protein transmembrane transporter activity;protein transporter activity;signal sequence binding;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity,cell part;cytoplasmic part;integral to membrane;intracellular organelle part;intracellular part;intrinsic to membrane;macromolecular complex;membrane;membrane part;membrane-enclosed lumen;mitochondrial inner membrane;mitochondrial inner membrane presequence translocase complex;mitochondrial intermembrane space;mitochondrial membrane;mitochondrial membrane part;mitochondrial part;organelle envelope lumen;organelle inner membrane;organelle membrane;organelle part;protein complex,cellular process;establishment of localization;protein targeting;protein transport;transmembrane transport;transport,TIM23_YEAST,9,9,9,52.7,52.7,52.7,23.243,0,142.75,639200000,64,-1.242079,-0.3136116,-0.5190874,-0.6969278,-1.030392,-0.9934374,-0.795506,-1.49116,-0.9237995,-0.8058881,-0.7507485,-1.063567
,0.005127418,0.002654205,sp|P32911|SUI1_YEAST,sp|P32911|SUI1_YEAST,P32911,Color [DarkGray],1,4,,"binding;nucleic acid binding;protein binding;ribonucleoprotein binding;ribosomal small subunit binding;RNA binding;translation factor activity, nucleic acid binding;translation initiation factor activity;translation initiation factor binding",cell part;cytoplasmic part;eukaryotic 43S preinitiation complex;intracellular part;macromolecular complex;multi-eIF complex;ribonucleoprotein complex;translation preinitiation complex,biological regulation;cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular process;macromolecular complex assembly;regulation of translation;ribonucleoprotein complex assembly,SUI1_YEAST,9,9,9,72.2,72.2,72.2,12.312,0,316.11,4072800000,147,0.1551225,0.2401721,-0.6498144,0.1225144,0.1984672,0.5381937,0.291256,0.1009271,-0.01567421,0.2894106,0.3172973,0.5025798
,0.557951712,-0.215393027,sp|P32939|YPT7_YEAST,sp|P32939|YPT7_YEAST,P32939,Color [DarkGray],1,4,,"binding;catalytic activity;GTP binding;GTPase activity;guanyl nucleotide binding;guanyl ribonucleotide binding;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleoside-triphosphatase activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding",cell part;cytoplasmic part;fungal-type vacuole;fungal-type vacuole membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;lytic vacuole;membrane;membrane-bounded organelle;organelle;organelle membrane;organelle part;storage vacuole;vacuolar membrane;vacuolar part;vacuole,autophagy;biological regulation;catabolic process;cellular component organization;cellular localization;cellular membrane organization;cellular metabolic process;cellular process;endocytosis;endosome transport;establishment of localization;localization;membrane invagination;membrane organization;metabolic process;organelle inheritance;organelle organization;protein transport;regulation of organelle organization;response to stimulus;signal transduction;transport;vacuole organization;vesicle-mediated transport,YPT7_YEAST,9,9,9,60.6,60.6,60.6,23.042,0,296.58,2000500000,142,-0.8101683,-0.633211,-0.9424667,-0.41094,-0.6541305,-0.9271351,-0.2709233,-0.35485,-0.2325945,-0.3618125,-0.4234941,-0.6084444
,0.026757138,0.033358415,sp|P36151|YK50_YEAST,sp|P36151|YK50_YEAST,P36151,Color [DarkGray],1,4,,,,,YK50_YEAST,9,9,9,37.8,37.8,37.8,39.406,0,60.77,560820000,46,-0.7850542,-0.759225,-0.8745411,-1.39721,-0.7001778,-0.4343264,-1.201484,-1.219412,-1.495484,-1.190287,-1.088775,-0.281137
,0.32620064,-0.322493716,sp|P38616|YGP1_YEAST,sp|P38616|YGP1_YEAST,P38616,Color [DarkGray],1,4,,,extracellular region,amine metabolic process;cellular amino acid metabolic process;cellular component assembly;cellular component organization;cellular ketone metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;metabolic process;nitrogen compound metabolic process;organic acid metabolic process;primary metabolic process;small molecule metabolic process,YGP1_YEAST,9,9,9,25.7,25.7,25.7,37.327,0,72.007,6820500000,209,-0.1739122,-1.113894,0.5336036,0.006163922,-0.07216142,0.09251887,-1.552643,0.2152371,0.04449618,-0.08226382,-0.1728223,-0.1807029
,0.410060398,0.194081903,sp|P38886|RPN10_YEAST,sp|P38886|RPN10_YEAST,P38886,Color [DarkGray],1,4,,binding;polyubiquitin binding;protein binding;small conjugating protein binding;structural molecule activity;ubiquitin binding,"cell part;intracellular part;macromolecular complex;proteasome complex;proteasome regulatory particle, base subcomplex;protein complex",catabolic process;cellular metabolic process;cellular process;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;proteolysis;proteolysis involved in cellular protein catabolic process,RPN10_YEAST,9,9,9,41.8,41.8,41.8,29.747,0,279.87,1424100000,84,-0.5250419,-1.041328,-0.3696643,-0.7174765,-0.8087737,-0.6482025,-0.7994981,-0.8672592,-0.8927726,-0.806661,-1.77146,-1.315332
,1.06125146,0.26193428,sp|P38910|CH10_YEAST,sp|P38910|CH10_YEAST,P38910,Color [DarkGray],1,4,,adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;chaperone binding;nucleotide binding;protein binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;unfolded protein binding,cell part;cytoplasmic part;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane-enclosed lumen;mitochondrial matrix;mitochondrial part;organelle lumen;organelle part,cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular metabolic process;cellular process;establishment of localization;macromolecular complex assembly;macromolecule metabolic process;metabolic process;primary metabolic process;protein complex assembly;protein folding;protein metabolic process;protein targeting;protein transport;transmembrane transport;transport,CH10_YEAST,9,9,9,77.4,77.4,77.4,11.372,0,281.58,10625000000,259,1.275119,1.223525,0.7781684,0.9697449,0.7704729,1.112787,0.6603277,0.667756,0.8066669,0.8826702,0.6285553,0.969828
,1.206051409,0.69214647,sp|P39929|SNF7_YEAST,sp|P39929|SNF7_YEAST,P39929,Color [DarkGray],1,4,,binding;identical protein binding;protein binding,cell part;cytoplasm;cytoplasmic part;endosomal part;ESCRT III complex;intracellular organelle part;intracellular part;macromolecular complex;membrane part;organelle part;protein complex,catabolic process;cellular component organization;cellular membrane organization;cellular metabolic process;cellular process;endosome transport;establishment of localization;macromolecule metabolic process;membrane organization;metabolic process;organelle organization;primary metabolic process;protein metabolic process;protein transport;proteolysis;proteolysis involved in cellular protein catabolic process;response to chemical stimulus;response to stimulus;response to stress;transport;vacuolar transport;vesicle organization;vesicle-mediated transport,SNF7_YEAST,9,9,9,44.6,44.6,44.6,26.987,0,85.199,565080000,48,-0.7368951,-0.489175,-0.8254511,-1.096347,-0.5871825,-0.46132,-0.8848047,-1.600778,-1.662917,-1.487123,-1.103735,-1.03538
,0.031528954,0.024278204,sp|P40165|NNRE_YEAST,sp|P40165|NNRE_YEAST,P40165,Color [DarkGray],1,4,,binding;cation binding;ion binding;metal ion binding;nucleotide binding,cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;mitochondrion;organelle,cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cofactor metabolic process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleotide metabolic process;primary metabolic process;small molecule metabolic process,NNRE_YEAST,9,9,9,47.6,47.6,47.6,27.521,0,89.792,807720000,77,-0.3206216,-0.700389,-0.3973192,-1.081854,-0.4187594,-0.2742888,-1.685501,-0.4906768,-0.7743145,-0.7655483,-1.559096,-0.8731413
